web-scraper-order,web-scraper-start-url,Name,Description,More,More-href
"1682617953-159","https://www.goa.gov.in/what_to_see/churches/","Nunnery of Santa Monica","","Learn More","https://www.goa.gov.in/places/nunnery-of-santa-monica/"
"1682617953-160","https://www.goa.gov.in/what_to_see/churches/","Church of Mae de Deus (Saligao)","","Learn More","https://www.goa.gov.in/places/church-of-mae-de-deus-saligao/"
"1682617953-161","https://www.goa.gov.in/what_to_see/churches/","Rachol Seminary","","Learn More","https://www.goa.gov.in/places/rachol-seminary/"
"1682617953-162","https://www.goa.gov.in/what_to_see/churches/","Chapel of Our Lady of the Mount","","Learn More","https://www.goa.gov.in/places/chapel-of-our-lady-of-the-mount/"
"1682617953-163","https://www.goa.gov.in/what_to_see/churches/","The Convent of St. Cajetan and Church of Divine Providence","The large and beautiful Church of St. Cajetan, lies about half a kilometer away to the north east of the Se Cathedral","Learn More","https://www.goa.gov.in/places/the-convent-of-st-cajetan-and-church-of-divine-providence/"
"1682617953-164","https://www.goa.gov.in/what_to_see/churches/","Church and College of St. Paul","Unfortunately all that remains today of this once massive structure is the façade of the Church built in Doric style","Learn More","https://www.goa.gov.in/places/church-and-college-of-st-paul/"
"1682617953-165","https://www.goa.gov.in/what_to_see/churches/","St. Francis of Assisi","To the west of the Se Cathedral is the former palace of the Archbishop that connects the Se Cathedral","Learn More","https://www.goa.gov.in/places/st-francis-of-assisi/"
"1682617953-166","https://www.goa.gov.in/what_to_see/churches/","St. Augustine's Tower","One of the most spectacular of all monuments in Goa, reproduced on innumerable travel brochures and advertisements","Learn More","https://www.goa.gov.in/places/st-augustines-tower/"
"1682617953-167","https://www.goa.gov.in/what_to_see/churches/","The Reis Magos Church","The small hamlet of Reis Magos lies on banks of the Mandovi river and is home to two famous landmarks of Goa","Learn More","https://www.goa.gov.in/places/the-reis-magos-church/"
"1682617953-168","https://www.goa.gov.in/what_to_see/churches/","Our Lady of The Rosary Church","Not far to the west of the Basilica of the Bom Jesus is the Holy Hill at the extremity","Learn More","https://www.goa.gov.in/places/our-lady-of-the-rosary-church/"
"1682617953-169","https://www.goa.gov.in/what_to_see/churches/","Our Lady of The Immaculate Conception Church","The church was one of the first to be built in Goa, certainly being there by 1541","Learn More","https://www.goa.gov.in/places/our-lady-of-the-immaculate-conception-church/"
"1682617953-170","https://www.goa.gov.in/what_to_see/churches/","Church of St Anne, Talaulim","Of all the churches in Goa, the most ostentious and notable for its excellent architecture is that of St Anne","Learn More","https://www.goa.gov.in/places/church-of-st-anne-talaulim/"
"1682617953-171","https://www.goa.gov.in/what_to_see/churches/","Se Cathedral","The most imposing of all the churches at Old Goa, its vaulted interior overwhelms visitors with its sheer grandeur.","Learn More","https://www.goa.gov.in/places/se-cathedral-churche/"
"1682617953-172","https://www.goa.gov.in/what_to_see/churches/","Basilica of Bom Jesus","Built in the 16th century, this magnificent edifice is the most popular and famous of all the churches in Goa. The mortal remains of St. Francis Xavier, kept in a silver casket, are enshrined here.","Learn More","https://www.goa.gov.in/places/basilica-church-for-churches/"
